Jaar;Kwartaal;Eerste asielverzoeken;Nareizigers
2017;april;1,160;1,685
2017;mei;1,285;1,475
2017;juni;1,345;0,935
2017;juli;1,530;0,765
2017;augustus;1,435;0,755
2017;september;1,400;0,745
2017;oktober;1,310;0,905
2017;november;1,300;0,935
2017;december;1,345;0,995
2018;januari;1,560;0,700
2018;februari;1,200;0,705
2018;maart;1,390;0,735
2018;april;1,450;0,620
2018;mei;1,575;0,815
2018;juni;1,295;0,540
2018;juli;1,930;0,565
2018;augustus;2,025;0,370
2018;september;2,250;0,350
2018;oktober;2,225;0,350
2018;november;1,840;0,410
2018;december;1,770;0,315
2019;januari;1,850;0,270
2019;februari;1,660;0,340
2019;maart;1,875;0,230
2019;april;1,860;0,215
2019;mei;1,645;0,255
2019;juni;1,685;0,415
2019;juli;1,960;0,460
2019;augustus;1,880;0,320
2019;september;2,030;0,425
2019;oktober;2,090;0,400
2019;november;2,075;0,360
2019;december;1,935;0,480
2020;januari;1,955;0,465
2020;februari;1,505;0,475
2020;maart;1,010;0,125
2020;april;0,270;0,150
2020;mei;0,340;0,050
2020;juni;0,650;0,060
2020;juli;1,195;0,240
2020;augustus;1,420;0,270
2020;september;1,490;0,350
2020;oktober;1,405;0,495
2020;november;1,225;0,635
2020;december;1,265;0,545
2021;januari;0,920;0,365
2021;februari;0,780;0,475
2021;maart;1,020;0,670
2021;april;0,905;0,885
2021;mei;0,950;0,830
2021;juni;1,485;0,885
2021;juli;2,120;1,075
2021;augustus;2,745;0,770
2021;september;3,950;0,935
2021;oktober;3,870;1,210
2021;november;3,580;0,835
2021;december;2,415;1,185
2022;januari;1,960;0,655
2022;februari;1,600;0,775
2022;maart;2,895;1,135
2022;april;2,220;0,850
2022;mei;2,530;0,915
2022;juni;2,575;1,400
2022;juli;2,745;1,615
2022;augustus;3,840;1,065
2022;september;4,435;0,965
2022;oktober;4,075;0,660
2022;november;4,070;0,380
2022;december;2,595;0,500
2023;januari*;2,490;0,390
2023;februari*;2,195;0,510
2023;maart*;2,225;0,995
2023;april*;2,355;0,810
