DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL:Albania,2022,2793592,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT:Austria,2022,8978929,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,BE:Belgium,2022,11617623,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,BG:Bulgaria,2022,6838937,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,CH:Switzerland,2022,8738791,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,CY:Cyprus,2022,904705,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,CZ:Czechia,2022,10516707,b
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,DE:Germany (until 1990 former territory of the FRG),2022,83237124,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,DK:Denmark,2022,5873420,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,EE:Estonia,2022,1331796,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,EL:Greece,2022,10459782,b
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,ES:Spain,2022,47432893,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,FI:Finland,2022,5548241,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,FR:France,2022,67871925,p
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,HR:Croatia,2022,3862305,b
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,HU:Hungary,2022,9689010,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,IE:Ireland,2022,5060004,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,IS:Iceland,2022,376248,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,IT:Italy,2022,59030133,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,LI:Liechtenstein,2022,39308,
ESTAT:DEMO_R_D2JAN(1.0),15/06/23 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,LT:Lithuania,2022,2805998,
