DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,asyl_app,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,AT:Austria,2022-06,9540,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,AT:Austria,2022-07,11300,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,AT:Austria,2022-08,14495,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,AT:Austria,2022-09,15930,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,AT:Austria,2022-10,18210,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,AT:Austria,2022-11,11745,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,AT:Austria,2022-12,6875,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,AT:Austria,2023-01,4095,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,AT:Austria,2023-02,2460,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,AT:Austria,2023-03,3025,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,AT:Austria,2023-04,3290,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2022-06,2515,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2022-07,2655,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2022-08,3200,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2022-09,3620,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2022-10,3760,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2022-11,3000,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2022-12,2220,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2023-01,2285,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2023-02,1935,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2023-03,2030,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2023-04,1625,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BE:Belgium,2023-05,2235,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BG:Bulgaria,2022-06,905,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BG:Bulgaria,2022-07,1125,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BG:Bulgaria,2022-08,1895,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BG:Bulgaria,2022-09,2495,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BG:Bulgaria,2022-10,2785,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BG:Bulgaria,2022-11,2030,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BG:Bulgaria,2022-12,1180,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BG:Bulgaria,2023-01,1280,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BG:Bulgaria,2023-02,730,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BG:Bulgaria,2023-03,1305,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,BG:Bulgaria,2023-04,1010,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,CH:Switzerland,2022-06,1610,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,CH:Switzerland,2022-07,1670,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,CH:Switzerland,2022-08,1930,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,CH:Switzerland,2022-09,2535,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,CH:Switzerland,2022-10,3080,
ESTAT:TPS00189(1.0),29/06/23 23:00:00,M:Monthly,PER:Person,EXT_EU27_2020:Extra-EU27 (from 2020),T:Total,TOTAL:Total,NASY_APP:First time applicant,CH:Switzerland,2022-11,3430,
